UID	dby    DBY7286 Low-Pi vs. High-Pi||dby    	pho4c  PHO4c vs. wild type||pho4c  	pho80  pho80 mutant vs wild type||pho80  	"pho81  PHO81c vs. wild type, exp.1||pho81  "	"pho812 PHO81c vs. wild type, exp.2||pho812 "	pho85  pho85 delete vs. wild type||pho85  	"lowpho NBW7 strain High-Pi vs. Low-Pi, exp.2||lowpho "	"nbw    NBW7 strain low-Pi vs. High-Pi, exp.1||nbw    "
YML076C	0.18	-0.23	0.23	0.3	0.24	-0.6	0.6	0.13
YNL180C	0.24	-0.23	0.22	0.11	-0.31	-0.65	0.28	0.04
YOR125C	0.23	-0.09	0.03	0.23	-0.25	-0.24	-0.9	-0.18
YML078W	0.51	-0.03	0.4		0.39	0.26	1.03	-0.09
YNL182C	-1.34	-0.07	0.01	-0.09	-0.32	-1.18	-0.43	-0.31
YOR127W	0.14	0.43	-0.2		0.72	-0.14	-0.33	0.26
YML080W	-0.48	0.03	0.56		-0.14	-1.11	0	-0.39
YNL184C	-0.23	0.06	0.03	2.13	0.03	-0.38	0.02	-0.22
YOR129C	0.22	-0.35	0.18	-0.46	-0.37	-1.17	-1.01	0.17
YNL198C	-0.12	0.01	-0.21		-0.32	-0.39	0.11	0.17
YNL200C	0.85	-0.1	0.07	2.09	0.34	0.68	0.39	-0.18
YNL202W	0.3	-0.04	-0.19		0.03	-0.01	-0.89	0.35
YNL204C	0.12	0.44	-0.11	0.42	0.23	-0.05	-0.9	0.03
YNL206C	-0.08	-0.05	0.15	0.27	-0.04	-0.36	-0.04	-0.04
YNL208W	1.23	0.56	0.65	1.34	1.48	1.34	0.47	-0.37
YNL224C	0.29	0.05	0.24	0.11	0.53	0.06	0.16	0.09
YNL226W	-0.17	0.19	-0.4	-0.54	0.06	-0.77	-0.04	-0.02
YNL228W	-0.65	-0.17	-0.09	-0.2	-0.25	-0.76		0.13
YNL230C	0.06	-0.09	-0.27	-0.15	0.07	-0.2		0.04
YNL232W	-0.59	-0.22	-0.07	-0.28	-0.12	-0.86	-0.08	-0.36
YLR075W	-0.07	0.06	0.42	0.74	0.02	-0.15	0.61	-0.2
YLR079W	0.21	-0.31	0.03	-0.06	0.16	0.04	0.64	0.1
YLR093C	0.34	-0.33	0.2	0.72	0.32	0.14	0.82	-0.03
YLR095C	0.28	0.43	0.22	-0.14	0.67	-0.16	0.5	-0.48
YLR097C	0.35	0.07	0.23	0.47	0.19	0.49	0.7	-0.19
YLR453C	0.2	0.02	0.25	-0.37	-0.2	0	0.24	-0.05
YOR047C	0.04	-0.18	-0.02	-0.11	-0.22	-1.15	0.11	0.18
YLR099C	0.49	0.61	0.2	1.05	1.45	0.59	0.8	0.11
YLR455W	0.14	-0.07	0.46	-0.4	-0.13	-0.24	0.29	-0.08
YOR049C	1.38	0	0.18	0.55	0.52	-0.39	0.41	0.35
YLR101C	0.45	0.14	0.36	0.89	0.9	-0.35	0.75	-0.12
YLR457C	0.23	0.11	0.16	-0.27	0.14	-0.08	0.77	0
YOR051C	-0.35	-0.42	0.42	0.07	-0.18	-0.76	0.6	0.13
YLR103C	-0.04	0.09	0.3	-0.06	0.68	-0.1	0.35	0
YLR459W	0.49	0.09	0.57	0.25	0.15	-0.46	0.67	-0.03
YOR053W	0.32	-0.3	0.24	0.45	0.17	-0.44	0.58	0.3
YLR117C	0.15	0.29	0.25	-0.22	0.62	-0.58	0.7	0.12
YLR461W	0.5	0.17	-0.17	-0.1	0.87	0.37	0.85	-0.1
YOR055W	0.7	-0.39	-0.17	3.09	0.25	-0.51	0.04	0.42
YLR119W	0.31	0.14	0.64	0.52	0.55	0.69	0.69	-0.2
YLR463C	0.54	0.18	0.61	0.24	0.91	0.11	1.03	0.1
YOR057W	-0.04	-0.09	0.19	0.09	-0.05	-0.25	-0.13	-0.03
YLR121C	0.35	0.45	0.02	0.97	1.16	1.23	0.88	-0.36
YML011C	0.32	0.05	0.32	0.19	0.4	-0.09	0.53	-0.22
YOR071C	0.14	0.53	-0.01	0.86	0.28	0.01	0.41	0.23
YLR123C	0.58	0.03	0.01	0.94	0.9	0.55	1.04	-0.23
YML013W	0.25	0.01	-0.04	-0.34	0.61	-0.05	0.77	0.26
YOR073W	0.02	-0.17	0.15	-0.4	-0.45	-0.91	-0.42	0.19
YML066C	0.13	0.49	-0.74		0.03	-0.22	-0.04	-0.18
YLR125W	0.36	0.19	-0.07	-0.36	0.55	0.27	0.64	-0.19
YML015C	-0.31	-0.42	0.26	-0.77	-0.24	-0.75	0.33	-0.09
YOR075W	-0.05	-0.48	0.25	-0.05	-0.27	-0.22	-0.58	0.12
YLR127C	0.38	0.19	0.12	-0.23	0.27	-0.24	0.58	-0.15
YML018C	-0.64	0.29	0.23	-0.46	0.14	-0.76	0.55	-0.27
YOR077W	0.08	0.06	-0.06		-0.11	-0.64	-1.41	0.35
YLR141W	0.36	-1.81	0.22		0.58	0.34	0.58	0.35
YML020W	0.25	-0.16	0.01	-0.9	0.54	-1.27	1.2	-0.17
YOR079C	0.06	0.05	0.24	0.92	0.07	-0.58	-0.7	0.01
YLR143W	-0.23	0.34	0.25	-0.42	0.34	-0.77	0.91	0.03
YML022W	-0.32	-0.09	0.45	-0.37	-0.12	-0.55	0.21	-0.43
YOR081C	0.5	0.08	0.48	1.13	0.17	-0.39	-0.03	0.29
YLR145W	-0.03	0.13	0.18	-0.38	-0.01	-0.38	0.47	-0.15
YML041C	0.17	-0.04	0.3	-0.08	0.54	-0.72	0.41	0.23
YNL150W	-0.27	-0.98	0.23	-0.01	-0.37	0.15	0.31	0.09
YOR095C	-0.79	0.33	0.14	0.44	-0.02	-0.96	-0.24	-0.04
YLR147C	0.06	-0.11	0.41	-0.13	-0.03	-0.37	0.39	-0.24
YML043C	-1.1	-0.47	-0.01	-0.34	-0.39	-0.95	-0.4	-0.21
YNL152W	0.11	0.06	0.24	0.78	-0.04	-0.58	-0.01	-0.06
YOR097C	0.22	-0.25	0.18	1.28	-0.04	-0.49	-0.82	0.18
YLR149C	2.21	0.77	0.52	0.25	1.4	0.65	2.03	0.13
YML046W	0.07	-0.28	0.07		-0.12	-0.13	0.59	0.21
YNL154C	0.37	-0.05	0.49	0.3	0.09	-0.58	0.59	0.13
YOR099W	0.44	0.21	0.28	0.84	0.35	0.12	0.56	-0.07
YLR151C	0.62	0.41	0.3	-0.57	0.57	-0.14	1.09	0
