UID	dby    DBY7286 Low-Pi vs. High-Pi||dby    	pho4c  PHO4c vs. wild type||pho4c  	pho80  pho80 mutant vs wild type||pho80  	"pho81  PHO81c vs. wild type, exp.1||pho81  "	"pho812 PHO81c vs. wild type, exp.2||pho812 "	pho85  pho85 delete vs. wild type||pho85  	"lowpho NBW7 strain High-Pi vs. Low-Pi, exp.2||lowpho "	"nbw    NBW7 strain low-Pi vs. High-Pi, exp.1||nbw    "
YGR076C	-0.19	0.11	0.09	0.15	-0.05	-0.14	-0.31	0
YJL057C	0.87	-0.01	0.06	0.24	0.29	0.18	0.48	0
YLR039C	0.49	0.56	-0.12	0.32	0.28	-0.42	0.42	0.08
YMR246W	-0.32	0.16	0.1	-0.08	0.49	-1.48	0.23	0.09
YPR204W	0.2	0.33	0.06	-0.15	0.52	-0.32	0.46	0.6
YCRX20C	0.43	-0.52	0.03	-0.88	0.58	-1.13	0.7	0.26
YDR519W	0.43	-1.02	1.16	0.19	-1.33	-0.64	0.2	
YGR078C	0.01	0.41	0.15	0.39	0.39	-0.44	0.17	0.01
YJL059W	0.17	0.03	-0.11	0.19	0.06	-0.03	-0.06	-0.19
YLR041W	-0.05	-0.47	-0.54		-0.36	-0.94	0.37	-0.04
YDR343C	0.72	-0.01	0.61	0.77	-0.68	0.26	1.14	-0.09
YMR250W	0.78	0.07	0.09	0.23	0.63	-0.05	0.74	-0.1
YDL001W	0.11	0.01	0.29	-0.31	0.08	0.46	0.61	-0.2
YDR521W	0.14	0.01	0.97	-0.13	0.56	-0.29	-0.18	-0.2
YGR080W	-0.26	0.25	-0.05	-0.15	-0.04	-0.51	-0.2	-0.28
YJL061W	0.2	0.18	0.05	-0.25	0.16	-0.87	-0.07	-0.16
YLR043C	0.17	-0.29	-0.03	0.68	-0.14	-0.04	0.31	-0.15
YMR252C	0.3	0.21	0.07	-0.07	0.56	-0.3	0.22	-0.14
YPL221W	0.83	0.42	0.09	0.24	0.28	-1.13	1.09	0.51
YDL051W	-0.92	-0.49	0.14	-0.27	-0.34	-0.97	0.42	-0.04
YGR130C	0.4	0.06	0.21	0.4	0.28	0.34	0.8	0.14
YJL111W	0.17	0.16	0.01	0.2	0.18	-0.75	0.7	0.02
YMR307W	0.26	-0.05	0.88	0.62	-0.3	-0.79	1.01	0.18
YOR167C	-0.23	-0.22	0	-0.06	-0.29	-0.76	-0.01	-0.01
YAR075W	-0.28	0.17	0.56	0.38	0.2	-0.1	0.75	-0.47
YDL053C	-0.03	-0.36	0.19	0.21	0.14	-0.44	0.8	0.17
YMR309C	0.04	0.57	0.24	1.04	-0.15	-0.93	0.22	0.05
YOR169C	-0.44	0.67	-0.02	0.37	0.28	-0.79	0.01	-0.36
YDL055C	0.26	0.14	0.52	0.71	0.21	-0.67	1.29	-0.17
YJL115W	-0.13	-0.07	0.02	0	0.2	-0.33	0.64	0.14
YMR311C	0.31	-0.7	0.5	0	-0.22	-0.13	0.48	0.26
YOR171C	0.37	0.06	0.28	-0.01	0.14	-0.64	0.06	0.21
YDL057W	0.14	0.11	0.1	0.98	0.38	-0.13	0.41	-0.28
YJL117W	1.57	1.32	2.25	2.48	1.9	1.16	1.7	0.91
YMR313C	0.67	0.34	0.01	3.1	0.31	-0.5	0.6	0.18
YDL059C	-0.75	0.18	0.05	0.15	0.32	-0.1	0.58	-0.09
YJL119C	0.99	1.08	0.7		1.67	0.65	0.58	0.89
YMR315W	1.02	0.37	0.35	1.22	0.77	0.55	1.1	0.02
YJL213W	1.06	-0.09	-0.26	0.88	1.47	0.17	0.75	0.1
YOR175C	0.06	0.06	0.14	-0.49	-0.07	-1.01	0.6	0.04
YAL035W	0.47	0.54	0.04	-0.6	0.77	-0.74		0.23
YDL061C	-0.55	-0.46	0.55	0.54	-0.02	-0.24	0.82	0.21
YJL121C	-0.42	-0.08	0.17	0.29	0.39	0.04	0.75	-0.22
YMR317W	0.59	0.34	0.02	2.65	0.75	0.34	0.84	0.38
YOR177C	-0.01	-0.41	-0.22		-0.39	0.49	0.46	-0.57
YMR062C	-0.04	0.8	-0.07	0.03	0.44	-0.53	0.92	-0.57
YDL099W	-0.7	-0.55	0.46	-0.2	0.06	-0.21	0.87	0.19
YGR178C	0.13	0.21	0.1	-0.2	0.28	-0.34	0.68	0.49
YJL159W	0.12	0.04	0.21	0.57	0.53	0.98	0.94	0.03
YNL030W	-0.08	-0.55	0.28	0.21	-0.42	-0.69	0.36	0.23
YOR215C	0.25	-0.4	0.37	0.13	0.01	-0.38	0.56	0.37
YLR390W-A	-0.15	-0.93	0.8	0.03	-0.08	-0.45	0.89	0.12
YAR019C	0.28	-0.28		-0.51	1.43	0.78	-0.23	0.92
YDL101C	-0.49	-0.06	0.3	0.06	0.21	0.21	0.33	0.02
YGR180C	0.4	-0.11	0.38	0.48	0.52	-0.07	0.76	0.06
YJL161W	1.16	-0.42	0.01	0.9	0.46	0.63	0.55	0
YNL032W	-0.12	-0.34	0.24	0.23	-0.03	-0.05	0.17	0.1
YOR217W	-0.08	0.13	0.02	0	-0.05	-1.19	0.35	0.3
YHR021W-A	0.41	-0.76	0.47	-0.2	0.03	0.26	1.15	1.48
YDL103C	-0.43	0.18	0.47		0.36	-0.24	0.64	-0.1
YGR182C	0.29	-0.09	0.35	0.56	0.14	0	0.67	0.05
YJL163C	1.37	0.18	0.23	0.51	0.61	0.12	1.32	0.12
YNL034W	0.41	-0.82	-0.05		0.1	0.76	-1.25	0.37
YOR219C	0.62	0.05	0.04	0.47	0.6	-0.39	0.57	0.41
YIL071C	0.55	0.01	0.27	0.09	0.33	-0.27	0.27	0.42
YDL105W	-0.75	-1.48	0.3		-0.17	0.11	0.27	0.61
YER002W	-0.74	-0.47	0.47	0	-0.14	-0.61	0.52	0.24
YJL165C	0.76	-0.07	0.36	0.65	0.95	0.19	1.14	0.47
YNL036W	1.01	-0.08	0.42	1.16	0.2	0.04	0.59	-0.29
YOR221C	0.25	0	-0.01	0.98	0.12	-0.91	0.05	0.21
YER120W	0.14	0.22	0.59	0.45	0.44	-0.51	1.16	-0.15
YDL107W	-0.24	0.17	0.36	0.33	0.71	0.3	0.66	-0.24
YGR186W	0.2	0.24	0.46	-0.17	0.27	-0.32	0.72	0.13
YJL167W	0.46	-0.02	0.49	1.14	0.62	0.19	0.95	0.06
YNL038W	-0.11	-0.15	0.11	0.38	-0.25	0.42	0.16	-0.06
YOR223W	0.27	-0.53	0.06		-0.06	-0.27	-0.12	0.39
YDR195W	-0.12	-0.35	0.14	-0.09	0.17	0.16	0.41	-0.14
YER136W	0.6	0.07	0.16	0.53	0.56	-0.22	0.76	0.09
YDL109C	-0.22	0.17	0.19	0	0.84	-0.05	0.58	0.14
YER006W	-0.93	-0.19	0.54	3.1	0.34	-1.23	0.47	0.17
YGR188C	-0.2	0.12	0.06	-0.43	0.01	-0.05	0.39	-0.2
YJL169W	0.23	0.41	0.13	0.86	0.62	-0.24	0.61	-0.15
YNL040W	0.27	0.45	0.15	0.44	-0.22	-0.53	0.62	0.05
YOR225W	-0.19	-0.12	-0.41	1.54	0.24	-0.46	0.12	-0.81
YER152C	-0.16	0.47	-0.52	0.07	0.75	-0.37	0	-0.03
YGL009C	0.1	0.13	-0.26	0.54	0.71	-0.42	-0.1	0.35
YNR027W	-0.32	0.13	-0.29	0.28	0.01	-0.6		0.07
YPL157W	-0.41	0.21	0.15	0.27	0.19	-0.12	0.1	-0.13
YBR186W	-0.67	-0.34	-0.2	-0.02	-0.1	-0.08	0.14	-0.26
YER168C	0.03	0.17	0.03	0.43	0.22	-0.36	0.54	0.01
YHR167W	-0.1	0.14	0.1	0.18	0.25	-0.35	0.04	-0.15
YKL109W	1.84	0.02	0.82	0.54	0.23	-0.43	1.48	0.85
YNR029C	-0.29	0.04	-0.15	0.03	-0.03	-0.58		-0.07
YPL159C	0.24	-0.58	0.2	0.14	-0.07	-0.5	-0.47	0.03
YGL131C	0.32	0.29	0.14	-0.36	0.29	-0.57	0.81	-0.01
YLR177W	0.19	0.24	0.09	0.18	0.08	-0.7	0.21	0
YBR188C	-0.25	-0.1	-0.04	-0.1	0	0.17	0.81	-0.02
YHR169W	-1.18	-0.08	-0.22	-0.46	-0.21	-1.08	0.03	-0.29
YKL111C	0.35	0.34	0.26	0.34	0.47	-0.22	0.22	0.12
YER184C	0.22	0.03	-0.14	0.88	0.67	0.51	0.49	0.38
YNR031C	0.39	-0.16	-0.01		0.37	-0.24	0.08	0.16
YGL133W	0.26	0.38	0.17	-0.34	0.33	-0.5	0.59	-0.13
YBR190W	-0.12	0.19	0.26	1.61	0.18	0.28	0.7	-0.12
YLR235C	0.15	0.27	-0.12	0.51	-0.27	-0.27	0.17	-0.15
YHR171W	0.82	0.09	-0.28	0.09	0.47	0.22	0.25	-0.03
YKL113C	-0.14	-0.29	0.14	-0.36	-0.12	-0.36	0.31	-0.04
YNR033W	0.27	0.37	-0.08	0.05	0.28	-0.46	-0.08	0.13
YPL163C	0.03	-0.41	-0.03	0.31	0.17	-0.57	-0.12	0.17
YBR192W	-0.11	0.07	-0.12	0.04	0.02	0.04	0.48	0.08
YHR173C	0.06	0.23	-0.06	-0.3	0.3	-0.55	0.5	-0.23
YKL115C	0.14	0.09	0.15	0.14	0.17	-0.15	0.38	0.27
YNR035C	0.45	0.19	0.18	0.41	0.15	0.11	0.07	-0.05
YER124C	0.26	0.04	0.31	0.07	-0.25	-0.59	0.58	0.19
YPL165C	0.77	0.53	0.31	0.87	0.75	0.56	-0.3	0.17
YBR194W	0.03	-0.26	0.01	0.09	-0.08	0.74	0.75	0.04
YDR197W	0.04	-0.03	0.24	0.1	0.01	-0.13	0.31	-0.14
YHR175W	0.35	0.26	0.26	0.08	0.31	0.42	0.74	-0.28
YKL117W	0.32	-0.54	0.34	0.16	-0.01	0.26		0.34
YNR037C	0.24	0.09	-0.1	0.75	0.6	0.27	0.1	-0.34
YDR199W	0.22	-0.26	-0.07	-0.18	0.03	-0.48	0.18	0.04
YER140W	0.08	0.26	0.07	0.32	0.15	-0.45	0.69	0.13
YDR249C	0.37	0.28	0.26	0.1	0.35	0.33	1.16	-0.2
YGL057C	0.08	0.19	-0.16	0.7	0.17	-0.24	0.06	0
YHR213W	0.41	-0.11	0.19	-0.01	0.43	0.08	0.54	0.38
YKL155C	-0.29	0.05	0	-0.37	-0.18	-0.54	0.42	0.13
YPL205C	0.05	-0.04	0.29	-0.31	0.15	-0.69	0.33	0.07
YER156C	-0.61	0.04	-0.11	0.47	0.01	-1.36	-0.03	-0.25
YHR215W	4.34	4.14	4.66	5.65	5.34	3.75	4.57	3.04
YPL207W	-0.45	0	0.21	-0.8	-0.15	-1.7	0.21	0.05
YDR253C	0.15	0.22	0.15	0.44	0.35	-0.15	0.69	-0.19
YHR217C	0.68	-0.18	0.3	-0.41	0.45	-0.39	0.89	0.43
YKL159C	0.38	0.35	-0.04	1.59	1.28	0.83	0.42	-0.16
YOL002C	-0.12	0.1	-0.16	0.33	0.06	-0.95		-0.18
YPL209C	-0.11	-0.31	-0.35	-0.7	-0.4	-0.76	-0.49	0.11
YBR238C	-0.39	0.46	0.71	0.28	0.18	-0.35	0.17	0.05
YDR255C	0.58	0.41	0.42	0.25	0.64	0.21	1.12	0.25
YDR247W	2.46	0.69	1.14	0.32	1.15	-0.27		0.83
YER188W	0.65	0.1	-0.16		0.77	0.27	1.87	0.18
YHR219W	0.4	0.39	0.27	0.74	0.89	0.1	0.84	0.43
YKL161C	0.16	0.32	0.35	0.94	0.33	1.32	-0.2	0.21
YPL211W	-0.83	-0.04	0.38	-0.18	-0.07	-1.02	0.41	-0.29
YBR240C	0.13	-0.29	0.48		0.21	-1.68	2.34	-0.12
YDR257C	0.05	0.14	0.29	-0.56	0.46	-0.55	0.66	-0.07
YBL100C	0.49	0.85	0.5	0	0.52	0.03	0.86	0.42
YIL002C	0.48	0.13	0.05	0.31	0.47	0.01	0.41	0.08
YKL163W	0.33	-0.08	0.29	0.23	0.21	1.01		-0.02
YIL030C	0.21	0.32	0.01	-0.46	0.15	-1.19	0.12	0.52
YOL006C	-0.22	-0.1	-0.01	-0.59	0.16	-0.66		-0.01
YKL191W	-1.08	0.38	-0.23	-0.16	0.1	-0.8	-0.05	-0.17
YPL213W	-0.13	-0.05	0.11	-0.39	-0.14	-0.9	0.31	-0.25
YNL066W	-0.03	0.54	0.89	0.39	0.05	-0.86	0.4	0.25
YOR251C	-0.19	0.19	0.33	0.7	-0.01	-0.64	-0.18	-0.21
YDR259C	-0.21	-0.24	0.33	-0.79	-0.22	-0.32	0.53	0.25
YGL067W	0.13	0.18	0.08	0.68	0.29	-0.06	0.6	-0.04
YBL101W-A	0.4	0.11	0.07	-0.4	0.69	-0.07	0.36	0.15
YIL004C	0.14	0.25	0.17	0.34	0.23	-0.53	0.37	-0.04
YKL165C	0.29	0.17	0.34	-0.11	0.45	-0.52		0.51
YIL032C	-0.07	0.26	0.03	0.45	0.42	-0.65	-0.09	0.29
YOL008W	0.05	0.11	-0.08	0.1	0.1	-0.16	0.27	-0.3
YPL215W	0.69	-1.18	-0.3	-1.22	0.4	-1.88	0.82	-0.65
YKL193C	0.48	0.17	0.35	0.37	0.37	-0.4	0.22	-0.28
YNL068C	0	0.26	0.42	-0.06	-0.43	-1.19	-1.15	-0.16
YOR253W	-0.14	0.24	0.31	0.28	-0.19	-0.84	0	-0.04
YBR033W	0.12	-0.07	0.14	-0.12	-0.03	0.25	0.27	0.2
YBL102W	0.08	-0.11	0.05	0.88	-0.11	0.08	0.55	-0.19
YHR071W	0.08	0.03	0.44	0.6	0.23	0.33	1.15	0.06
YKL012W	0.33	0.2	0.28	0.15	0.4	-0.02	0.51	0.11
YNL270C	-0.07	-0.46	-0.35	-1.03	-0.45	0.11	-1.02	-0.15
YIL034C	0.44	-0.18	0.21	0.5	0.17	-0.45	0.26	0.06
YPL061W	1.35	0.39	0.13	0.84	0.68	0.67	1.06	-0.1
YDR295C	0.25	-0.1	-0.06	0.94	1.51	-2.22	0.03	-3.29
YNL070W	0.05	-0.24	0.25	0.01	-0.25	-0.7	-0.17	-0.19
YOR255W	0.04	-0.17	-0.22		-0.2	-0.81	-2.5	0.43
YBR091C	0.01	-0.25	0.23	0.59	0.37	0.71	0.54	-0.01
YBL104C	0.08	-0.31	0.26	-0.6	0.87	-0.46	0	0.5
YFL041W	0.45	0.77	0.27	0.81	0.6	-0.3	0.93	0.11
YHR073W	0.29	-0.1	0.19	0.1	0.11	-0.55	0.6	0.34
YLR383W	0.34	-0.06	0.48	2.48	0.72	0.38	0.97	0.63
YIL036W	0.56	-0.17	0.1	0.11	0.01	-0.69	0.29	0.51
YNL272C	0.31	-0.05	0.26	-0.38	-0.06	-0.73		0.21
YKL197C	1.03	0.59	-0.4		0.92	-0.75	0.04	0.21
YPL063W	-0.01	0.2	0.01	0.28	0.16	-0.66	0.27	0
YNL072W	-0.2	0.53	-0.07	0.2	0.14	-0.33	-0.76	-0.14
YOR257W	-0.07	0.42	0.27	0.87	0.06	-0.25	-0.45	-0.03
YBR093C	3.22	2.85	4.34	4.44	4.19	3.31	3.55	1.23
YBL106C	0.39	0.28	2.32	-0.56	0.81		0.69	-0.01
YFL043C	0.41	0.2	0.32	0.62	0.76	0.17	0.89	-0.39
YKL016C	0.28	-0.49	0.84	0.59	-0.25	-0.43	0.87	-0.09
YIL038C	-0.26	-0.14	-0.22	-0.7	-0.07	-1.47	0.21	0.37
YLR385C	0.16	-0.71	0.06		0.21	-0.97	-0.52	0.14
YNL274C	0.89	-0.34	0.14	0.33	0.1	0.05		-0.23
YNL074C	0.57	0.17	0.5	0.51	0.33	-0.16	0.16	0.08
YPL065W	0.01	-0.2	-0.19	0.26	-0.19	-0.01	0.24	0.06
YOR259C	0.06	0.26	-0.09	0.1	-0.05	-0.41	0.13	-0.03
YBR095C	-0.01	0.1	0.24	0.4	0.24	0.58	0.62	-0.08
YBL108W	-0.07	0.01	-0.24	-0.73	0.56	-0.39	0.47	-0.2
YKL018W	0.28	0.13	0.34	0.15	0.12	-0.39	0.43	-0.07
YIL040W	-0.21	-0.18	0.23	0.55	-0.32	-0.71	0	-0.08
YLR387C	0.21	0.08	0.15	0.07	0.3	-0.06	0.66	0.2
YNL276C	0.16	-0.25	-0.15	-0.5	0.11	-0.34	0.24	-0.05
YNL076W	0.03	-0.02	0.03	-0.47	-0.19	-1.32	-0.1	0.02
YPL067C	-0.23	0.27	-0.06	0.99	0.47	0.37	0.04	-0.17
YOR261C	0.14	-0.45	0.16	-0.47	-0.3	-0.32	0.42	0.23
YBR031W	-0.16	0.01	0.6	0.65	0.03	0.01	1.1	-0.3
YDR099W	0.57	-0.25	0.26	0.86	0.23	-0.11	1.04	0.18
YHR079C-A	0.25	-0.23	0.04	-0.36	0.21	-0.39	0.29	-0.05
YIL078W	-0.09	0.23	0.12	-0.14	0.44	-1.07	0.48	0.18
YKR014C	0.04	-0.33	0.03	0.42	-0.07	-0.45	0.21	0.06
YLR389C	0.49	0.38	0.23	0.66	0.76	0.05	0.45	0.25
YNL114C	-1.04	-0.32	0.35	-0.34	-0.46	0.3	-0.27	-0.15
YNL278W	0.92	0.33	0.08	-0.39	1	-0.63	0.55	0.26
YOR299W	0.3	0.42	-0.27	0.02	0.17	-0.26	-0.18	0.08
YPL069C	0.13	0.17	0.53	0.56	0.09	-0.51	0.12	0.02
YBR099C	-0.04	0.06	1.39		0.4	0.4	-1.09	0.15
YDR101C	-0.89	0.04	-0.05	0.02	-0.08	-1.17	0.4	-0.13
YHR080C	0.72	-0.59	0.08	-0.7	0.37	0.01	0.28	0.95
YIL080W	0.18	-0.24	0.1	-0.1	0.11	-0.54	-0.14	0.03
YKR016W	-0.05	0.05	0.14	0.19	-0.17	-0.64	0.2	0.12
YKL022C	0.12	0.13	0.14	-0.21	0.05	-0.25	0.46	-0.03
YNL116W	0.02	0.44	0.05	0.1	0.07	-0.95	0.27	0.1
YNL280C	0.07	0.24	0.28	0	0.67	-0.54	1.07	-0.19
YOR301W	-0.14	-0.08	-0.22	-0.49	-0.02	-0.78	-1.27	0.27
YPL071C	0.15	-0.14	-0.03		0.16	-0.05	0.35	0.33
YDR335W	0.23	-0.27	0.1	-0.02	0.66	0.03	0.49	-0.23
YBR137W	0.7	0.16	0.36	0.55	0.45	1.17	0.65	-0.21
YIL083C	0.01	0.31	0.08	0.28	0.19	-0.36	-0.02	-0.11
YHR118C	-0.23	0.12	0.17	0.09	-0.17	-0.25	0.25	-0.16
YKL060C	0.26	-0.21	0.34	0.74	0.43	-0.17	1.6	-0.36
YLR429W	0.36	0.15	0.17	0.27	0.39	-0.32	0.42	0.06
YNL118C	0.28	-0.01	0.07	-0.51	0.02	-0.97	0.47	0.1
YNL318C	0.18	0.08	-0.11	0.46	0.27	-0.35	0.35	-0.05
YOR303W	-0.94	0.4	0.05	0.11	-0.36	-0.83	0.09	-0.15
YPL109C	0.4	0.28	0.7	0.98	0.55	0.2	0.23	0.06
YBR037C	0.19	0.19	-0.17	-0.29	0.17	-0.18	0.42	0.09
YFR021W	0.58	0.77	0.72	0.78	1.03	0.78	0.85	-0.03
YIL085C	0	0.18	0.03	0.06	-0.06	-0.44	-0.05	0.04
YHR120W	-0.23	0.27	0.13	-0.18	0.03	-0.71	0.32	0.09
YKR020W	-0.05	-0.19	0.13	1.19	0.2	-0.3	0.18	-0.06
YKL062W	0.87	-0.4	0.49	0.3	-0.17	-0.78	0.67	0.29
YNL120C	-0.91	0.13	0.02	-0.39	-0.31	-1.44	0.09	-0.13
YLR431C	-0.03	0.11	0.19	0.11	0.35	-0.06	0.57	-0.21
YNL320W	0.49	0.33	0.22	0.51	0.24	-0.31		0.04
YOR305W	-0.34	0.21	-0.02	0.07	-0.48	-0.36	-0.57	-0.27
YPL111W	-0.6	0.35	0.48	-0.27	-0.3	-0.79	-0.28	-0.28
YBR039W	0.06	-0.14	1.11	2.35	-0.4	1.03	0.44	0.14
YBR141C	-0.52	0.2	6.39	-0.29	-0.01	-1.26		-0.38
YIL087C	0.48	0.02	0.03	0.22	0.19	0.09	0.39	0.01
YHR122W	-0.24	0	0.07	0.52	-0.15	-0.41	0.56	-0.15
YKR022C	-0.08	-0.25	0	0.52	-0.19	-0.02	0.2	-0.08
YKL064W	0.58	-0.06	0.27	0.23	0.55	-0.43	0.77	0.27
YNL122C	0.12	0.18	0.03	-0.24	-0.06	-1.27	0.02	-0.33
YLR433C	0.07	0.12	0.14	0.31	0.08	-0.23	0.71	-0.01
YOR307C	0.28	-0.06	0.38	-0.21	-0.35	-1.02	0.07	0
YNL322C	0.2	0.36	-0.16	0.08	0.6	0.16	0.33	-0.01
YPL113C	0.36	-0.08	-0.25	0	-0.22	0.09	-0.3	-0.02
YBR041W	0.08	-0.08	0.11	0.64	0.22	-0.95	0.31	0.08
YBR143C	-0.06	0.04	1.73	-0.41	0.1		0.68	-0.07
YIL089W	0.18	-0.01	0	-0.02	0.12	-0.35	-0.18	0.01
YKR024C	-1.17	0.19	-0.22	-0.81	-0.06	-1.05	-0.36	-0.07
YHR124W	0.16	0.28	0.06	1.14	0.48	0.1	0.82	0.01
YNL124W	-1.27	0.35	-0.36	-0.75	-0.2	-1.59	-0.35	-0.59
YLR435W	-0.69	-0.34	0.17	-0.19	-0.26	-0.84	0.21	0.02
YOR309C	-0.26	0.26	0.25	-0.07	0.19	-1		-0.04
YNL324W	0.22	0.1	0.21	0.74	0.27	0.09	0.32	0.02
YPL115C	0.47	0.21	0.27	-0.21	0.14	-0.38	0.09	-0.01
YCL063W	-0.13	0.19	-0.12	-0.24	-0.02	-0.65	-0.09	-0.39
YGR214W	-0.21	-0.23	0.3	-0.05	-0.24	-0.97		-0.23
YDR147W	0.01	0	0.17	0.55	0.48	-0.39	0.43	-0.08
YJL195C	-0.33	0.2	-0.94	-1.17	-0.22	-1.19	-0.79	-0.04
YHR126C	-0.01	-0.34	-0.32	-1.28	-2.12	0.98	-0.2	
YKL068W	-0.27	-0.04	0.03	-0.39	0.09	-0.91	0.56	0.46
YML109W	-0.19	0.09	-0.29	-0.19	-0.19	-1.17	-0.12	0.02
YLR437C	0.26	0.09	0.35	-0.07	0.53	-0.5	0.67	-0.28
YOL034W	-0.15	0.12	0.09	-0.65	0.12	-1.11	-0.57	0.06
YNL326C	0.16	0.17	0.07	0.38	0.09	-0.48	-1.19	0.05
YPL241C	0.39	0.07	0.99	0.59	0.18	-0.97		0.12
YPL117C	-0.35	-0.1	0.12	-0.19	-0.19	-0.96	0.3	-0.29
YCL065W	-0.31	0.34	-0.11	0.31	0.09	-0.33	0.17	-0.07
YDR149C	-0.13	-0.69	0.14		0.2	0.1	0.62	0.3
YGR216C	-0.03	0.22	0.22	-0.43	-0.13	-1.24		0.03
YHR128W	-0.55	0.22	0.25	0.37	0.07	-0.39	0.49	-0.22
YJL197W	0.17	0.35	-0.05	-0.35	0.77	-0.61	-0.1	0.41
YKL070W	0.24	-0.04	0.27	0.39	0.19	-1.07	0.34	0.46
YLR179C	0.27	0.18	-0.01	0.28	0.15	-0.19	0.25	0.34
YLR439W	-0.19	0.52	-0.18	0.18	0.54	-0.28	0.43	-0.25
YML111W	0.02		0.07	0.23	0.45	-1.3	0	0.41
YNL328C	0.52	-0.01	0.29	0.65	0.1	-0.22	0.89	0.21
YOL036W	-0.1	0.19	-0.09	-0.63	-0.3	-1.27	0.19	0.08
YPL119C	0.64	0.84	0.11	-0.58	0.43	-0.28	0.45	-0.16
YPL243W	0.28	0.31	-0.36	0.17	0.45	0.11		0.06
YCR084C	0.26	0.58	0.11	0	0.82	0.08	0.84	0.2
YCL067C	0.15	-0.66	0.33	-0.1	-0.12	-0.08	0.56	0.3
YDR475C	0.73	-0.51	0.15		0.56	0.2	0.57	0.49
YGR034W	-0.19	0.2	-0.03	-0.25	0.34	-0.19	0.29	0.38
YJL014W	0.1	0.01	0.07	0.24	0.2	-0.36	0.66	-0.02
YGR218W	0.23	0.16	0.2	-0.44	0.16	-1.04	0.41	0.41
YLL064C	0.41	0.14	-0.14	0.14	0.88	-0.13	1	0.23
YJL199C	0.53	-0.02	-0.39	0.19	0.49	-0.34	-0.21	-0.17
YMR202W	0.38	-0.19	0.51	1.01	0.88	-0.31	1.57	-0.24
YLR181C	0.44	0.36	0.07	0.86	0.35	0.24	0.44	-0.15
YML113W	-0.64	0.09	-0.14	-0.2	-0.22	-0.99	-0.75	-0.09
YPR162C	-0.07	0.13	0.06	-0.02	-0.08	-0.43	0.05	-0.12
YOL038W	-0.11	-0.2	-0.17	-0.41	-0.27	-0.68	-0.01	-0.44
YCR086W	-0.06	-0.27	0.22	-0.08	-0.29	-0.32	0.33	-0.16
YDR477W	0.65	0.57	0.26	0.54	0.87	-0.14	1.25	0.17
YCL069W	-0.48	-0.48	-0.3	-1.26	-0.26	-1.03	-0.21	-0.2
YJL016W	0.88	0.47		2.2	1.11	0.81	1.07	-0.15
YDR277C	1.5	-0.36	0.15	-0.01	-0.15	-0.45	0.57	-0.29
YLL066C	0.61	0.29	0.24	0.54	0.69	0.61	0.87	0.74
YFL053W	0.25	-0.23	-0.73	-1.79	-0.07	-0.06	-1.47	-0.07
YMR204C	0.26	-0.17	-0.08	-0.02	-0.16	-0.38	-0.57	0.03
YGR220C	-0.06	0.11	0.17	0.1	0	-0.93	0.06	-0.27
YJL201W	0.29	0.1	-0.14	0.16	0.02	-0.16	-0.03	0.01
YLR183C	0.33	-0.14	0.08	0.27	-0.13	-0.73	0.47	0
YML115C	0.12	0.79	0.06	0.45	0.15	-0.72	0.08	-0.1
YOL040C	-0.29	-0.59	0.18	-0.38	-0.49	-1.78	0.47	0.02
YCR088W	0.6	0.92	0.47	0.99	1.38	0.4	0.6	-0.26
YPL247C	-0.04	0.25	-0.32	-0.54	0.06	0.28	-0.4	0.03
YDR479C	0.41	0.32	0.12	0.52	0.45	0.08	0.97	0.21
YJL018W	0.23	0.04		-0.45	0.39	-0.14	0.53	0.21
YCL074W	-0.45	-1.23	-0.14		-1.32	-0.81	-1.13	-0.11
YLR001C	0.96	0.27	0.46	1.28	0.68	0.11	1.46	0.36
YDR279W	-0.08	-0.09	0.07	0.09	0.02	-0.56	-0.11	-0.29
YMR206W	0.95	-0.13	-0.24	1.38	0.76	0.71	-0.76	0.05
YGR222W	0.21	-0.18	0	-0.22	-0.04	-1	0.22	0
YPR166C	0.1	0.12	0.16	0.28	0.08	-0.07	0.25	-0.28
YJL203W	-0.15	-0.15	-0.43	-0.23	-0.33	-0.59	-0.45	-0.12
YLR185W	0.29	0.25	-0.35	0.41	0.09	-0.39	0.28	-0.03
YML117W	0.38	-1.37	-0.19	-0.88	0.57	-0.25	-0.04	0.55
YCR090C	0.08	0.17	0.29	0.32	0.09	-0.15	0.58	-0.05
YOL042W	0.08	0.28	0.16	0.04	0.29	-1.19	-0.15	-0.26
YDR481C	1.91	1.56	1.99	2.49	2.29	1.54	2.25	0.88
YJL020C	0.45	0.03		0.01	0.56	-0.29	0.79	0.54
YLR003C	-0.9	-0.9	0.41	-0.7	-0.23	-0.81	0.6	0.12
YCL076W	-0.84	-0.25	-0.08		-1.63	0.18	-0.21	-0.5
YMR208W	0.22	0.24	0.22	0.63	0.63	-0.04	0.76	-0.01
YDR281C	3.46	3.03	3.43	4.06	3.76	-0.08	1.97	1.23
YGR224W	0.26	-0.32	-0.48	-0.4	-0.06	-0.7	0.23	0.4
YCR092C	0.47	0.78	0.41	1.2	0.23	-1	0.28	0.15
YDR483W	2.23	0.74	0.85		2.45	0.54	3.42	1.07
YML119W	-0.26	-0.8	-0.14	-0.19	-0.46	-0.34	-0.28	-0.44
YOL044W	-0.08	-0.01	-0.19	-0.38	0.32	-1.67	0.13	-0.07
